page 2	We do not suppose there is in the Colony anyone who is in the least misled by the speech of the Hon. C. P. Chater at the Legislative Council meeting on Monday last.
page 3	A MARVELOUS PERFORMANCE.
page 3	A BIG SCOOP.
page 3	THE VICTORIAN NAVAL FORCES.
page 3	THE WRECK OF THE 'MIOWEEA'.
page 3	SUPPOSED LOSS OF A BAROQUE.
page 3	COOLGARDIE GOLD MINES.
page 3	THE ANARCHISTS.
page 3	OCEAN FENNY POSTAGE.
page 3	CAPTAIN BEDDY SUES FOR LIBEL.
page 3	SCOTCH LOCAL GOVERNMENT BILL.
page 3	INDIAN FINANCIAL AFFAIRS.
page 3	THE KHEDIVE.
page 3	CHINESE IN AMERICA.
page 3	FLOODS AT LUCKNOW.
page 3	THE CHOLERA AT LUCKNOW.
page 3	LETTING THE GOVERNMENTS DOWN.
page 3	THE GERMAN EMPEROR IN ENGLAND.
page 3	THE MERCIAN TARIFF.
page 3	THE KAISER ON A LONG DRIVE.
page 3	AN AUSTRIAN ARCHDRE KILLED.
page 3	AN OBSTACLE TO DIFFERENTIAL TEARE.
page 3	A FAMOUS OBSERVATORY IN DANGER.
page 3	AN ANTI-LYNCH SOCIETY.
page 3	THE KAISER FAVORED PEACE.
page 3	BIG FIRE IN CHICAGO.
page 3	ENGLISH CRIUKETERS FOR AMERICA.
page 3	FRAUDULENT CHINESE REGISTRATION.
page 3	GERMANY AND THE ANARCHISTS.
