page 2	THERE appears to be a difference of opinion as to which of the towns of Funing in the Fokien Province, lying between Wenchow and Foochew, and another in the Pechili Province.
page 3	ANOTHER NEW TREATY PORT.
page 3	WOOSUNG TO BE OPENED TO FOREIGN TRADE.
page 3	LI HUNG CHANG IMPEACHED.
page 3	GREAT BRITAIN AND RUSSIA.
page 3	RUSSIAN DIPLOMATIST NETTLED BY THE NAVAL DEMON STRATION.
page 3	A PLAIN QUESTION TO SIR CLAUDE MACDONALD.
page 3	REUTER'S TELEGRAMS.
page 3	SPAIN AND THE UNITED STATES.
page 3	CHINA AND THE FRENCH DEMANDS.
page 3	SPAIN AND THE UNITED STATES.
page 3	RUMOURED WAR IN SOUTH AMERICA.
page 3	'FRAGRANT WATERS' MURMUR.
page 3	UNTTED STATES AND SPAIN.
page 3	WAR IMMINENT.
page 3	PURCHASE OF ANOTHER TRANSPORT.
page 3	THE REBELLION IN THE PHILIPPINES.
page 3	SERIOUS RISING IN CEBU.
page 3	THE POLITCAL SITUATION IN CHINA.
page 3	RUSSIA AND PORT ARTHER.
page 3	LATE TELEGRAMS.
page 3	THE WRECK OF THE CHINA.
page 3	THE GRAND KATIONAR.
page 3	ELECTION NEWS.
page 3	THE INDIAN CURRENCY.
page 3	THE ARMY MEDICAL CORES.
page 3	NEWS BY THE AMERICAN MAIL.
