page 2	IT is worthy of note that considerable activity has lately been shown in the Legislative Council at Singapore, and we fancy that the impetus given to official work there is not a little owing to the presence of the new Colonial Secretary (Mr C. C. Smith).
page 3	DISORDERLY CONDUCT.
page 3	CREATING A DISTURBANCE IN BROTHEL.
page 3	UNLAWFUL POSSESSION.
page 3	SIX MONTHS FOR LARCENY.
page 3	STEALING A WATCH AND CHINA.
page 3	ASSAULTING A SERVANT.
page 3	INDECENT BATHING AT PRAYA EAST.
page 3	STEALING SHOES.
page 3	STEALING LEAD.
page 3	EGYPT.
page 3	SOUTH AFRICA.
page 3	AFGHANISTAN.
