page 2	H.M.S. Pigmy, which has been relieved by the Plover, left Singapore for Hongkong.
page 3	DISASTROUS EXPLOSION NEAR SHANGHAI.
page 3	TWO HUNDRED BUILDINGS BLOWN DOWN.
page 3	THE EUROPEAN POWERS AND TURKEY.
page 3	THE COST OF THE INDIAN FAMINE AND PLAGUE.
page 3	PROROGATION OF PARLIAMENT.
page 3	TERRIBLE FOODS IN EUROPE.
page 3	THE BRITISH LOSSES AT MALAKAND.
page 3	TROUBLE IN STORE FOR TURKEY.
page 3	THE INSTITUTION OF NAVAL ARCHITECTS.
page 3	FURTHER DETAILS.
page 3	THE LIGHTING OF SOCOTRA.
page 3	AN EXPERTS OPINION.
page 3	THE NEW GOVERNOR GENERAL OF GOA.
page 3	M. HERZ AND THE PANAMA SCANDALS.
page 3	RONTGEN RAY APPARATUSES.
page 3	EXPORTS OF INDIAN TEA TO THE UNITED KINGDOM.
page 3	THE POONA TRAGEDIES.
page 3	THE TOCHI VALLEY EXPEDITION.
page 3	ANOTHER OUTBREAK OF CHOLERA.
page 5	BURDETTE AND THE BICYCLE.
page 5	HE SAYS HE CAN RIDE, BUT NOT THAT HE DOES.
page 5	JAPAN AS A BORROWER IN GOLD.
