page 2	There are several considerations connected with the recent grant of a subaddy to the China Merchants Steam navigation Company at Honolulu which are worthy of nots. On the 27th of July the vote for a subsidy of $24,000 per annum to the above-named Chinese Company.
page 3	THE THREATENED TYPHOON.
page 3	PIRATICAL ATTACK AT MACAO.
page 3	Police Intelligence.
page 3	ROGUES AND VAGABONDS.
page 3	IMPORTANT POINT.
page 3	ANOTHER OF THE SAME.
page 3	SERIOUS CHARGE.
page 3	LARCENY.
page 3	LARCENY FROM THE PERSON.
page 3	ROGUE AND VAGABOND.
page 3	DRUNK AND INCAPABLE.
page 3	PERMITTING GAMBLING.
page 3	SHORT WEIGHTS.
page 3	PUBLIC GAMBLING.
page 3	China.
page 3	H. B. M.'s SUPREME COURT.
page 3	THE HAWAIIAN SUBSIDY TO THE CHINA MERCHANTS'S COMPANY.
