page 1	THE IMMACULATE CONCEPTION OF THE BLESSED VIRGIN MARY.
page 3	ST. ANDREWS' DAY AT AMOY.
page 3	VACANT VICEROYALTIES.
page 4	THE CONDITION OF BRITAIN.
page 4	A VOLCANIC ERUPTION.
page 4	ASAMA YAMA ACTIVE.
page 4	DEVELOPMENT OF MANCHURIA.
page 4	ALLEGED SECRET LOAN.
page 4	BRITISH CUSTOMS DEPARTMENT.
page 4	ALLEGATIONS OF CHAOS AND CONFUSION.
page 4	THE ELECTION CAMPAIGN.
page 4	LIBERALS ACTIVE.
page 4	TAFT'S MESSAGE TO CONGRESS.
page 4	FAR EASTERN QUESTIONS.
page 4	A UNITED SOUTH AFRICA.
page 4	PROCLAMATION READ.
page 4	PLAGUE AT HANKOW.
page 4	PORT DECLARED INFECTED.
page 4	JAPAN AND RUSSIA.
page 4	FRAR OF WAR RIDICULED.
page 4	AMERICA'S COMMERCIAL CAMPAIGN.
page 4	VISIT TO SOUTH CHINA.
page 4	ANOTHER ARCTIC EXPLORATION.
page 4	RUSSIAN GOVERNMENT PLAN.
page 4	A DISCREDITED VICEROY.
page 4	GERMANY INSISTS.
page 4	THE HANKOW-SZECHUAN RAILWAY.
page 5	FASHIONABLE NAVAL WEDDING.
page 5	SOLICITOR DEFRAUDED.
page 5	BAZAAR AT THE CITY HALL.
page 5	CELEBRATION AT THE ROMAN CATHOLIC CATHEDRAL.
