page 2	It has passed decades ago into a commonplnco that the Chinese do everything by the rule of contraries, of which we have daily delightfully fresh iltustrations. It is watching the evolution of these perpetual.
page 3	THE ABANDONMENT OF SPIONKOP.
page 3	LORD ROBERTS'S CRITICISM.
page 3	THE RELIEF OF WEPENER.
page 3	BOERS SUSTAIN HEAVY REPULSE.
page 3	NEWS FROM MAFEKING.
page 3	The Attack on the Prince of Wales.
page 3	The New Postmaster-General.
page 3	The Plague in Australia.
page 3	Plague and Famine in India.
page 3	The Funeral of Sir Donald Stewart.
page 3	The Queen's Visit to Ireland.
page 3	Sir George White.
page 3	Large Discoveries of Guns.
page 3	Miscellaneous.
