page 2	DOUBTS are being thrown upon the piracy story recently reported at Singapore. It was stated by the Chinese crew of a unk that the junk had been pirated by three Malaya.
page 3	THE RUSSIAN PRESS ON COREA.
page 3	SHIPWRECK.
page 3	THE TROBLE IN THE DUTCH INDIES.
page 3	CHINESE NAVAL OFFICERS CHARGED WITH COWARDICE.
page 3	JAPANESE IN COREA.
page 3	GRAPHIC DESCRIPTION OF THE NAVAL BATTLE.
page 3	MORE DETAILS-CURIOUS CONDUCT OF A JAPANESE CRUISER.
page 3	CAPTAIN TANG REPORTED SAFE.
page 3	THE NAVAL FIGHT AT THE YALOO.
page 3	THE SAFETY OF THE TRANSPORTS.
page 3	VICEROY LI PROPOSES TO TAKE THE FIELD.
