page 2	THE attempt, which fortunately resulted in a failure, to pass 1,200 counterfeit dollars in a lump at Singapore on the 26th ultimo will probably lead to a little more careful examination than usual during the next few weeks of coins tendered in this Colony.
page 3	UNWARRANTABLE CONDUCT.
page 3	LARCENY.
page 3	DRUNKENNESS.
page 3	A ROMANCE.
page 3	ALLEGED KIDNAPPING.
page 3	A CONFIRMED THIEF.
page 3	NOT QUITE INSANE.
page 3	AN AGED MENDICANT.
page 3	CHILD-STEALING.
page 3	A DESPERATE CHARACTER.
page 3	TELEGRAMS.
page 3	OUR POSITION AT HONGKONG AD IN THE PACIFIC.
page 3	THE TURKISH INVASION OF THE CAUCASUS.
