page 2	The Norddeutscher Lloyd's S, S. Co.'s steamship Preussen, with the next outward German Mail, dated Berlin, 30th October, left Singapore on Friday, the 23rd instant, at 6 p.m., and maybe expected here on or about Thursday, the 20th inat.
page 3	OXFORD SENIOR LOCAL EXAMINATION.
page 3	THE AMERICAN MUSIC L COMEDY AND OPERA COMPANY.
page 3	'THE MIRADO.'
page 3	THE OPIUM SMUGGLING CASE.
page 3	SUPREME COURT.
page 3	IN CRIMINAL SESSIONS.
page 3	THE LITTLE HONGKONG MURDER CASE.
page 3	THE MITKIEWICZ SCHEME REVIVED.
page 3	NOTES FROM NATIVE PAPERS.
page 3	CHARTERED BANK OF INDIA. AUSTRALIA, AND CHINA.
page 3	THE STATUS OF FOREIGN MAIL STEAMERS.
page 3	DEBATE IN THE COLOMBO CHLAMBER OF COMMERCE.
page 3	NEWS BY THE ENGLISH MAIL.
page 3	FURTHER REINFORCEMENTS NEEDED AT SUAKIN.
page 3	THE PARNELL COMMISSION.
page 3	THE ACCIDENT TO THE CZAR'S TRAIN.
page 3	THE GURRENCA COMMIS JON'S REPORT.
page 3	THE FARNELL COMMISSION.
page 3	ITALY JOINING THE BLOCKADE.
page 3	INCREASE TO THE BRITISH NAVY.
page 3	BLACK MOUNTAIN EXPEDITION.
page 3	COLLISION IN THE HOOGLY.
page 3	THE CYCLONE IN INDIAN OCEAN.
page 3	THE CHINESE AMPA.
page 3	THE MURDERER OF MR. DALGLEISH.
page 3	THE AMEER.
