page 4	THE combination formed recently in London amongst the chief steamer-owners engaged in the China and Japan trade is one of the most important movements made in business circles for many years.
page 5	THE CHINA SUGAR REFINERY.
page 5	NEWS has been received from Saigon of the loss of the German barque Sine (late Cap-singmoon or Anna Rosa).
page 5	MAKING allowance for the vagueness of Reuter's telegraphio advices regarding steamers.
page 5	WE believe it is the intention of the Shanghai Volunteers to send a formal challenge to the Hongkong Artillery Volunteers.
page 5	WE regret to have to record the death of Mr W. G. Galdie, chief officer of the P. & O. Company's steamer Malacca.
page 5	VAL Vose and Ira Brown gave their last entertainment during their present visit to Hongkong.
page 6	THE VOYAGE OF THE VEGA.
page 6	A POETICAL NORTH-EAST PASSAGE.
page 6	"We were the first that ever burst Into that silent sea."
page 6	ONE DAY IN INDIA.
page 6	THE CHILDREN OF YAKOOB BEG.
page 6	THE SITUATION AT MANDALAY.
page 6	COCHIN CHINA.
page 6	JOHN DUNN.
page 6	THE CULTIVATION OF PERFUME PLANTS.
