page 2	NAVY ESTIMATES FOR HONGKONG.
page 3	EXECUTION OF CRIMINALS.
page 3	TROUBLE AT NAM SA.
page 3	A NEW PATRIOTIC SONG.
page 3	FAMILY TROUBLES.
page 3	DEFYING THE GOVERNMENT.
page 3	BURGLARY AT FATSHAN.
page 3	COLLAPSE O BUILDINGS.
page 3	FRAUDS ON PAWNBROKERS.
page 4	THE SILENT GUN.
page 4	LINGERING COLDS.
page 4	SOCIAL AND PERSONAL.
page 4	ITEMS AT THE COURTS.
page 4	THE NEW CHARTERED BANK IN LONDON.
page 4	GOVERNMENT HOUSE.
page 4	ACCIDENT TO MR BURKILL.
page 4	BANKRUPTCY PETITION.
page 4	TURKEY'S NEW REGIME.
page 4	LATE SULTAN PLEADS FOR LIFE.
page 4	EUROPE ASTOUNDED.
page 4	CHINESE EMPEROR'S FUNERAL.
page 4	CHINA'S NAVAL PROBLEM.
page 5	TANG SHAO - YI'S FUTURE.
page 5	THE BOXER INDEMNITY.
page 5	QUESTION OF DEFERRED PAYMENT.
page 5	THE BANDMANN DRAMATIC COMPANY.
page 5	MISSION TO SEAMEN.
page 5	Foundation Stone of New Institute Laid.
page 6	NEWS IN BRIEF.
