page 2	If we were to take noto of all the sensational rumours which find circulstion in Hongkong, the declarations of war would be perennial. These foolish rumours will, we feel sure, be disbelioved until officiul.
page 3	REUTER'S TELEGRAMS.
page 3	SPAIN AND THE CNITED STATES.
page 3	GREAT BRITAIN AND RUSSIA IN CHINA.
page 3	THE REVENUE.
page 3	FRANCE AND CHINA.
page 3	HONGKONG BEING WATCHED.
page 3	FRANCE AND SOUTH CHINA.
page 3	BRITISH AND FRENCH GUNBOATS CLEARED FOR ACTION.
page 3	THE INSURRECTION IN SOUTH HAINAN.
page 3	A RICE FAMINE.
page 3	CARL HERTZ, THE CONJURER.
page 3	CONUURING EXTRAORDINARY.
page 3	SUPREME COURT.
page 3	THE COTTON SPINNERS OF JAPAN.
