page 1	AUSTRALIA.	
page 1	IN GERMANY.
page 1	TOLD HOW TO VOTE.
page 1	AERIAL FATALITY.
page 1	PADEREWSKI.
page 1	AERIAL NAYIGATION.
page 1	SAFEGUARDS FOR FUTURE.
page 1	HOLLAND'S REYOLTION.
page 1	BESARABIA JOINS RUMANIA.
page 1	LITHUANIA.
page 1	EARLIWER TELEGRAMS.
page 1	LEAGUE OF NATIONS.
page 1	RUSSIA.
page 1	THE SPREAD OF BOLSHEVISM.
page 1	EWSTHONIA.
page 1	GERMAN EVAOUATION OF REVAL.
page 1	A TOTAL OF OVER NINE MILLION.
page 1	A GERMAN STORY.
page 1	MEXIOO.
page 1	MR. CHURCHILL'S FORECAST.
page 1	PRESIDENT WILSON.
page 1	ARRANGENMENTS FOR LONDON VOSIT.
page 1	PRESIDENT WILSON INVITED TO IRELAND.
page 1	VIENNA THREATENED WITH STARYATION.
page 1	IN GERMANY.
page 1	THE POWERS OF THE PRESIDENT.
page 2	A NEW FRAZER WORK.
page 2	RUPEHT BROOKE.
page 2	PAMOUS GIRL AYIATOR COMING TO DHINA.
page 2	NO MORE ZEPPELINS.
page 2	HEVEALED BY A DREAM.
page 2	SHANCHAI, NOT HONGKONG.
page 2	THE TEMPORARY OFFICER.
page 2	POLLUTION OF THE GANGES.
page 8	ALARMING TO YOYACERS.
page 8	WELL EARNED LEAYE.
page 8	SPAN AND FRANCE.
page 8	FRENCH SENATR DEAD.
page 8	PARIS COAL SHORTACE.
page 8	PROPOSED INTER -ALLY RAILWAY.
page 8	AN OLD-TIME ELEPHANT HUNTER.
page 8	A STRANGE ORDER.
page 8	PEACE IN CHINA.
page 8	THE EVILS OF THE TUCHUN SYSTEM.
page 10	EARLIER TELEGRAMS.
page 10	EXCLUSION OF GERMANS.
page 10	AUSTRALIAN ACTION.
page 10	IMAS AT HOME.
page 10	ANTICIPATIONS OF A MEMORABLE WEEK.
page 10	AMERICAN EX-AMBASSADOR IN ENGLAND.
page 10	MR. HARYEY DU CROS.
page 10	BRITISH AREAS IN TIENTSIN.
page 10	CHINESE VISION OF SELF-DETEMINATION.
page 10	NEW LEATHER SUPPLY.
