page 2	IT will be remembered that on the first day of the Potts-Rustomjse trial, the foreman of the jury, seeing the case was likely to last two or three days, enquired whether the jurymen were to be paid by the day.
page 3	THE SANITARY BOARD.
page 3	THE BOARD'S POWER TO MAEF BY-LAWS.
page 3	CONTRACT SPECIFICATIONS.
page 3	INSTRUCTIONS TO THE BOARD'S OFFICERS.
page 3	THE HONGKONG AND KOWLOON WHARF AND GODOWN CO.
page 3	JUDGMENT IN THE POOTUNG DOCK CASE.
page 3	HANKOW.
page 3	MORE ABOUT THE RIOT.
page 3	GOLD MITMING IN CHINA.
page 3	WITH THE 'PEI-YANGS' AND THE 'NAN-YANGS' IN CHEFOO BAY.
