page 2	The report of the Retrenchment Commission is very disappointing. Before the Committee began their work of investigation, it was generally believed, by none perhaps more than the Unofficial Members of the Legislative Conncil.
page 3	THE CHINA-JAPAN WAR.
page 3	GREAT NAVAL BATTLE.
page 3	ANOTHER VERSION.
page 3	DEGRADATION OF LI HUNG CHANG.
page 3	WRECK OF A CHINESE TRANSPORT.
page 3	200 SOLDIERS DROWNED-SAVAGE CONDUCT OF THE SURVIVORS.
page 3	THE JAPANESE WAR LOAN.
page 3	ADVANCE OF THE JAPANESE ON PINGYANG.
page 3	THE CHINA-JAPAN WAR.
page 3	THE ATLANTIC RECORD BROKEN.
page 3	THE INSURRECTION IN MOROCCO.
page 3	JABEZ BALFOUR'S APPEAL ARJECTED.
page 3	EFFECTS OF THE NEW TARIFF.
page 3	THE ATLANTIC FAST LINE.
page 3	IMPERIAL PASLIAMENT.
