page 2	REUTER announces the translation of Sir Nicholas O'Conor from Peking to St. Petersburg as Her Majesty's Plenipotentiary to the Court of the Czar. No announcement is made as to his successor at Peking.
page 3	CHANGE OF AMBASSADORS.
page 3	VISIT OF THE GERMAN CHANCELLOR TO RUSSIA.
page 3	RIOT AT BOMBAY.
page 3	JAPAN AND THE LIAOTUNG PENINSULA.
page 3	THE KICHENG MASSACRE.
page 3	THE DUTY OF WESTERN NATIONS.
page 3	THE 'TIMES' ON THE SILVER QUESTION.
page 3	INTERNATIONAL PEACE CONFERENCE.
page 3	THE 'ST. LOUIS' A RECORD BREAKER.
page 3	AMERICAN MISSIONS ATTACKED BY TURKS.
page 3	BIMETALLISM TO THE FHONT.
page 3	RESOLUTIONS OF PEACE CONFERENCE.
page 3	'MARBLEHEAD' ON HER WAY TO SYRIA.
page 3	GEEMANS ANGRY AT ENGLAND.
page 3	THE KUCHENG MASSICRE IN PARLIAMENT.
page 3	FRENCH AGITATED OVER GERMAN FETES.
page 3	GAY FETES OF THE GERMANS.
page 3	THE TRADE OF MANCHESTER.
