page 1	FROST AND FRUIT GROWING.
page 3	BRITISH RESERVE.
page 4	BRITISH POLITICS.
page 4	THE COMING VISIT OF AMERICAMS.
page 4	NEW AMERICAN MINIS TER TO CHINA.
page 4	MR. CRANE'S SUCCESSOR.
page 4	THE COMING ELECTION.
page 4	LIBERALS HOPEFUL.
page 4	THE CHINESE NAVAL COMMISSIONERS.
page 4	AUSTRALIA'S NAVY.
page 4	LOAN BILL PASSED.
page 4	SOMALILAND.
page 4	FEARS OF TROUBLE.
page 4	DISTRUST OF DALAI LAMA.
page 4	MACAO DELIMITATION.
page 4	CHINESE COLLECTING EVIDENCE.
page 4	JAPAN AND KOREA.
page 4	SUGGESTED UNION OF COUNTRIES.
page 4	THE MANCHURIAN SITUATION.
page 4	RUMOUR OF NEW CHINO JAPANESE AGREEMENT.
page 4	LEGISLATIVE COUNCIL.
page 5	WANCHAI WESLEY AN CHURCH.
page 5	DISASTROUS FIRES AT CANTON.
page 5	SUB-DIVISIONS IN THE COLONIAL CEMETERY.
