page 2	THE China Mutual Company's steamer Pekling, from Glasgow and Liverpool, left Singapore for this port yesterday afternoon, and may be expected here on or about the 26th instant.
page 3	RUSSIA AND THE JAPANESE VICTORIES.
page 3	THE RECENT NAVAL BATTLE.
page 3	THE CHINESE DEFEAT AT PING YANG.
page 3	ADVANCE OF THE JAPANESE ARMY.
page 3	THE TYPHOON.
page 3	VESSELS DAMAGED-LOSS OF LIFE.
page 3	SHIPMENTS OF SILVER.
page 3	CAUSING THE DEATH OF A SYCE.
page 3	A SERIOUS RIDING ACCIDENT.
page 3	THE POONA POLO TOURNAMENT.
page 3	THE CONGRESS OF HYGIENE AND DEMOGRAPHY.
page 3	AN UNAUTHORIZED IRISH FUND.
page 3	TEA GROWING IN FAVOUR AT HOME.
page 3	THE GERMAN EMPEROR AND THE SWORD.
page 3	SERIOUS STATE OF THINGS IN MOEOCCO.
page 3	MILITARY ATTACK ON A GEERK NEWSPATER OFFICE.
page 3	THE ADMINISTRATION OF MASHONALAND.
page 3	THE CONGRESS OF HYGIENE AND DEMOGBAPEY.
page 3	DESPATCH OF A RUSSIAN SQUADRON TO COREA-ANCIENT NEWS.
page 3	PASHAS ARRESTED FOR BUYING SLAVE GIRLS.
page 3	THE FIRES IN AMERICA.
