page 2	Every contry measures the price of its labour by the monetary standard it has fixed for itself, and as the monetary standerds of gold and silver countries have diverged, the cost of labour has diverged too.
page 3	UGANDA.
page 3	PARLIAMENT.
page 3	THE SCENE IN THE AUSTRIAN REICHRATH.
page 3	GREAT BRITAIN AND FRANCE IN AFRICA.
page 3	IN ORIGINAL JURISDICTION.
page 3	FUNERAL AT THE HAPPY VALLEY.
page 3	THE INQUEST.
page 3	BABY BOY FOR THE CLSVELAND HOUSEHOLD.
page 3	GERMAN ARTISAND LEAD THE BRITISH.
page 3	MILAN CAUSING TROUBLE.
page 3	THE CZAR APOLOGIZED.
