page 2	We in Hongkong have been rejoining in present portents of renewed prouperity to follow upon the peried of tradal and commercial depression through which it has been our misfortune.
page 4	THE NETHERTON LEAVES FOR HOME.
page 4	LOOTING A JUNK.
page 4	AMERICAN TARIFF REVISION.
page 4	NEW SUGGESTIONS.
page 4	KAISER THE HAGUE.
page 4	THE INVASION PLAY.
page 4	GERMANY IRONICAL; AUSTRALIA ENTHUSIASTIC.
page 5	CANTON-HANKOW RAILWAY.
page 5	THE ALLEGED CORRUPTION.
page 5	CHINESE IMPERIAL TREASURY.
page 5	BRITISH PROTEST AGAINST CHINESE LOAN.
page 5	THE PRATAS AFFAIR.
page 5	FEARS OF BOYCOTT AT CANTON.
page 5	UNIVERSITY EXTENSION IN CHINA.
page 5	CHINESE GRIEVANCES AT HARBIN.
page 5	THE MACAO DELIMITATION QUESTION.
page 5	BRITISH CONCESSION AT SHANGHAI.
page 5	EXTENSION STILL OPPOSED.
