page 2	Not the most biguted Puritanism, not even the Nonconformist consciened itself, prone as it is to find a soul of evil in things harm. less, can discovor aught to object to in a horse-race considered in itself. There can.
page 3	THE RELIEF OF KIMBERLEY.
page 3	UNIVERSAL ENTHUSIASM.
page 3	THE BOERS STILL CONFIDENT.
page 3	CAPE COLONY.
page 3	THE GERMANS IN SHANTUNG.
page 3	THE FLIGHT OF CRONJE.
page 3	DESPERATE FIGHTING.
page 3	HEAVY LOSSES ON BOTH SIDES.
page 3	HIGHLANDERS HAVE THEIR REVENGE.
page 3	SUCCESSES IN NATAL.
page 3	BULLER CAPTURES IMPORTANT POSITIONS.
page 3	BOER PRISONERS TAKEN.
page 3	DORDRECHT RECAPTURED.
page 3	THE BOERS REPULSED.
page 3	THE TIEN TSU HUI.
page 3	MRS ARCHIRALD LITTLE AT CANTON.
