page 2	CHINA IS entering more and more definitely into the era of experimental reform movements, the inevitable outcome of ther persistent degeneration crying aloud for amendment Her condition.
page 3	THE KUCHENG MASSACRE.
page 3	THE WORK OF THE COMMISSION SUMMARISED.
page 3	RECOGNITION OF DR GREGORY'S SERVICES.
page 3	THE STRAITS SETTLEMENTS.
page 3	THE UNITED STATES AND THE CUBAN REVOLT.
page 3	THE ARMENIAN RIOTS AT CONSTANTINOPLE.
page 3	ANOTHER POLITICAL ORISIS IN COREA.
page 3	THE NEW GOVERNOR OF QUEENSLAND.
page 3	STRANGE IF TRUE!
page 3	FRANCE FOLLOWS ENGLAND'S LEAD.
page 3	AUSTRALIA AND JAPAN.
page 3	THE MAHOMMEDAN REBELLION.
page 3	WANTED A HARBOUR MASTER.
page 3	A PLAINT FROM NAGASAKI.
page 3	THE SZECHUEN RIOTS AND LIU PING-CHANG.
page 3	THE BRITISH ULTIMATUM.
