page 2	IT may be assumed that a few facts connected with the coming Tea season will prove of some interest.  Much of the prosperity of the Ports depends upon this event in China's export trade.
page 5	MR GOSCHEN ACIS FOR MR LAYARD AT CONSTANTINOPLE.
page 5	PRINCE HEINRICH OF PRUSSIA AT GOVERNMENT HOUSE.
page 5	UNVEILING THE PORTRAIT OF THE PRINCE CONSORT.
page 5	INCAPABLE.
page 5	DESERTERS FROM THEIR SHIP.
page 5	BREACHES OF THE OPIUM ORDINANCE.
page 5	GAMBLING.
page 5	FIGHTING.
page 5	CHINA AND PORTUGAL.
page 5	THE HONGKONG & SHANGHAI BANK STRAITS ORDINANCE.
page 6	A RUSSO-CHINESE WAR.
