page 2	As we anticipated, the very strong feeling of indignation that has been evoked by the action of the Executive in regard to the Verandah Tax is likely to take a practical from. The best from of public protest against the arbitrary proceeding of the Governor in this matter is perhaps a public meeting of all classes of the community..
page 3	VILLAGE LIFE IN CHINA.
page 3	CHAPTER I.
page 3	KNOWLEDGE OF CHINESE LIFE.
page 3	CHAPTER H.
page 3	THE SITUATION OF VILLAGFS.
page 3	SUPREME COURT,.
page 3	IN SUMMARY JURISDICITION.
page 3	KOW THE CHINESE MISUNDER STAND.
page 3	POLITICS IN CHINA.
page 3	AN EPISODE IN GENERAL GORDON'S HISTORY.
page 3	CHINESE IN NEW SOUTH WALES.
page 3	THE DOUGLAS STEAMSHIP COMPANY LIMITED.
