page 4	A STAE RELIGION FOR CHINA.
page 5	THE FIGHTING IN DOBRUDJA.
page 5	ENEMY STILL ATTACKING.
page 5	THE FIGHTING ROUND VERDUN.
page 5	THE BRITISH FRONT.
page 5	HEAVY RAIN CONTINUES.
page 5	DESTRUCTION OF MERCHANT SHIPS.
page 5	GERMAN HOSTILITY TO NORWAY.
page 5	STIPULATIONS REGARDING IRON ORE.
page 5	THE KING OF GEEECE.
page 5	ASSURANCES TO BRITISH MINISTER.
page 5	BAD WEATHER IN MACEDGNIA.
page 5	THE U.S. PRESIDNTIAL ELECTION.
page 5	PLOTTING "A SPECTACULAR ATTACK."
page 5	AMERICA AND THE KITCHENER MEMORIAL FUND.
page 5	THE OCCUPATION OF CONSTANZA.
page 5	THE PORT IN FLAMES.
page 5	THE LAST TO LEAVE.
page 5	GERMANY'S WAR AGAINST NORWEGIAN SHIPPING.
page 5	A SERIOUS SITUATION.
page 5	WRECKAGE OF GERMAN WARSHIP.
page 5	GERMAN NAVAL CONSTRUCTION.
page 5	CONCENTRATING ON SUBMARINES.
page 5	GENERAL SIR D. HAIG RECTOR OF ST. ANDREW'S.
page 5	VIOLENT ENEMY ATTACKS ON THE FRENCH.
page 5	CAPTURED GROUND WHOLLY MAINTAINED.
page 5	OVER 5,000 PRISONERS.
page 5	GERMAN DEFEAT DUE TO KAISER'S PERSONAL NTERYENTION.
page 5	ENEMY ACTIVE ON BRITISH FRONT.
page 5	CONSCRIPTION IN AUSTRALIA.
page 5	VICTORY FOR CONSCRIPTION FORESHADOWED.
page 5	VESSELS SUNK.
page 5	BRITISH COAL SUPPLY.
page 5	GREATER OUT PUT NEEDED.
page 5	NEW BRITISH WAR LOAN.
page 5	60,000,000POUNDS TO BE FOATED IN NEW YORK.
