page 2	WE are pleased to learn from the official telegram forwarded to us by the Spanish Conusl that the Philippine Rebellion is now at an end. According to the telegram. the principal rebel leaders have laid down their arms.
page 3	TERMINATION OF THE INSURRECTION.
page 3	THE PRINCIPAL LEADERS LAY DOWN THEIR ARMS.
page 3	THE PIRATICAL OUTRAGE AT HAIPHONG.
page 3	A CAREFULLY-ORGANISED UPRISING.
page 3	THE N.W. FRONTIES. - A NORTHAMITON MEMORIAL.
page 3	THE CRITPAUONG CYCLONE.
page 3	THE DREYFUS CASE.
page 3	THE COTTON TRADE.
page 3	INDIAN COAL.
page 3	INDIAN CROP PROSPECTS.
page 3	THE LIBERAL PROGRAMME.
page 3	MAHOMEAN UNREST IN THE RUSSIAN EMIPIRE.
page 3	THE ANDAMANS.
page 3	RETIREMENT OF AN INDIAN JUDGE.
page 3	INDIAN FAMINE COMMISSION.
page 3	THE NORTH-WEST FRONTIER CAMPAIGN.
page 3	MUST HAVE HIS TRIP AROUND THE WORLD.
page 3	SUNK IN COLLISION.
page 3	WONDERFUL WORK OF A NEW GUN.
page 3	SAD DEATH OF AN ITALIAN NOBLEMAN.
