page 2	THE RUMOURED RISING IN CANTON.
page 3	THE CRISIS IN COREA.
page 3	ARREST OF THE JAPANESE MINISTER.
page 3	THE ARMENIAN RIOTS.
page 3	CHINA AND JAPAN.
page 3	THE CUBAN REVOLT.
page 3	ARMENIAN REFORMS.
page 3	THE FRENCR IN MADAGASCAR.
page 3	FRENCH RAILWAY SCANDALS.
page 3	JAPAN AND THE POWERS.
page 3	RUSSIA AND COREA.
page 3	THE CALM BEFORE THE STORM.
page 3	THE POPE SETTING ITALY AND PORTUGAL BY THE EARS.
page 3	THE KUCHENG MASSACRE.
page 3	WHOLESOME RESULT OF ADMIRAL BULLER'S PRESENCE.
page 3	THE FOREIGN OFFICE AND THE SHANGHAI COMMUNITY.
page 3	A STANLEYITE IN TROUDLE.
page 3	ANOTHER INGURANCE FRAUD.
page 3	PUNISHMENT OF RAIDERS IN SOMALILAND.
page 3	POLO.
page 3	THE NORTH WEST FRONTIER.
page 3	THE REVOLT IN GOA.
page 3	SIR MORTIMER DURAND.
page 3	A BISHOP UROWNED.
page 3	OBITUARY.
page 3	NEXT YEAR'S CONTEST FOR THE AMERICA CUP.
page 3	CHOLHBA.
page 3	NEW GOYERNOR GENERAL FOR GOA.
page 3	SLATIN PACHA C.B.
page 3	AMERICAN CURRENCY PROPOSALS.
page 3	THE ITALIANS IN ABYSSINIA.
page 3	THE FRENCH IN MADAGASCAR.
page 3	TURKEY AND THE ABMENIAN REFORMS.
