page 2	THE entire collapse of the Normal School venture for the present, taken together with other indications of feeble administration, may give some colour to the belief now generally entertained that Governor Hennessy will soon avail himself of a "change of air".
page 3	INSURRECTION IN DALMATIA.
page 3	THE ANGLO-TURKIH TREATY OF COMMERCE.
page 3	DISHASED PORK.
page 3	DEUNK.
page 3	A WOULD BE PLOKPOCKET.
page 3	UNLAWFUL POSSESSION.
page 3	BURGLARY.
page 3	DRUGGING AN INTENDED VICTIM.
page 3	THE KELLY AND WALSH FIRE CASE.
page 3	VAGABONDS AND INCAPABLES.
