page 2	We should also acquire by trealy with China, or by force, as circumstances may permit or compel us, Chusan Island and its dependencies, whence we could defend our large established trade and divers.
page 3	THE CRISIS.
page 3	DEPARTURE OF WARSHIPS FROM HONGKONG.
page 3	CHINA AND RUSSIA.
page 3	SCARE AT PORT ARTHUR.
page 3	RUSSIA COREA, AND JAPAN.
page 3	BITTER CRY OF THE CHINESE CUSTOMS' STAFF.
page 3	A WRECK ON THE WEST RIVER.
page 3	REAUTER'S TELEGRAMS.
page 3	THE REPORTS ON THE 'MAINE DISASTER.'
page 3	SPAIN AND THE UNITED STATES.
page 3	THE TIMES ON THE FAR EASTERN SITUATION.
page 3	THE UNIVERSITY BOAT RACE.
page 3	Oxford won by twelve lengths.
page 3	WEATHER REPORT.
page 3	LORD CROMER A POSSIBLE FOREIGN MINSTER.
page 3	'A PAIR OF SPECTACLES'.
page 3	A DISTINGUISHED ENTERTAINER.
page 5	NEWS BY THE AUSTRALIAN MAIL.
page 5	BRITISH POLICY IS CHINA.
page 5	SNOWDRIFTS IN PERSIA.
page 5	SCULLING IS ENGLAND.
page 5	THE BRITISH CIVIL SERVICE.
page 5	THE CLERICAL OFFICE.
page 5	MARK AWAIN'S DEBTS.
page 5	SITUATION IN UGANDA.
page 5	THE ITALIAN CONATITUTION.
page 5	FRAUDULENT OPERATIONS IS THE MELBOURNE MINT.
page 5	NEW FOUNDLAND RAILWAYS AND TELEGRAPHS.
page 5	SCHOOLBOY SLIPS.
