page 2	AS it is intended we believe to reconsider in the coarse of next Legislative Session the question of public gambling and its prevention, it will not be out of place at the present moment to call.
page 3	RESULT OF THE ST. LEGER.
page 3	THE CHOLERA.
page 3	FEMALE SUFFRAGE IN NEW ZEALAND.
page 3	MR. GLADSTONE AGAIN ASSAULTED.
page 3	AMERICA AND THE CHOLERA EPIDEMIC.
page 3	CHOLERA DECREASING IN HAMBURG.
page 3	NEWS BY THE ENGLISH MAIL.
page 3	THE CURRENCY QUESTION.
page 3	MR. JOHN MORLEY AND THE EVICTED ISISH.
page 3	THE PACIFICATION OF UGANDA.
page 3	THE TROUBLES IN AFGHANISTAN.
page 3	THE TIMES ON THE AFGHAN QUESTION.
page 3	SIR W. HARCOURT'S RE-ELECTION.
page 3	THE MASTER OF THE BUCKHOUNDS.
page 3	LORD ROBERTS ON THE ARMY.
page 3	CHOLERA IN EUROPE.
page 3	THE AFGHAN TROUBLE.
