page 4	Mr. JAMES L. KIERNAN, formerly a United States Consul in China, is evidently the right man in the right place, inasmuch as he no longer fulfils that office. But as his lucubration find a place in the columns.
page 5	LOCAL.
page 5	THE PHINCE AT THE CHINESE THEATRE.
page 5	TO-DAY'S POLICE.
page 5	REUTER'S TELEGRAMS.
page 5	REUTER'S EXPRESS.
page 5	MOZAMBIQUE.
page 5	THE PORTUGESE EXPEDITION TO THE ZAMBEZI.
page 5	THE WREOK OF THE CARNATIC.
page 5	REPORTED MURDER OF A SHIP CAPTAIN AND TWENTY-TWO OF A CREW.
page 5	A CASE OF BARATRY.
page 5	JAVA.
page 6	GOSSIP.
page 6	THE TRANSIT OF VENUS.
page 6	MISCELLANEOUS.
