page 3	THE KAISER'S DEFIANCE TO THE WORLD.
page 5	THE STRUGGLE IN FRANCE.
page 5	BRITISH OFFICIAL REPORT OF THE OPERATIONS.
page 5	RUSSIANS ADVANCING IN AUSTRIA.
page 5	THE TORPEDOED CRUISERS.
page 5	AUSTRALIANS CAPTURE GERMAN NEW GUINEA.
page 5	LISSA ISLAND BOMBARDED.
page 5	FRENCH OFFICIAL REPORT.
page 5	PRENCH TROOPS MARCHING INTO THE BEAUMONT REGION.
page 5	THE GERMAN CENTRE DEFEATED.
page 5	THE STRUOGLE IN FRANCE.
page 5	BRITISH OFFICIAL REPORT ON THE ORERATIONS.
page 5	FURTHER BRITISH CASUALTHES.
page 5	MR. CHURCHILL ON THE NAYAL POSITION.
page 5	A ZEPPELIN OVER OSTEND.
page 5	THE CREWS OF THE TORPEDOED CRUISERS.
page 5	AUSTRIAN WARSHIPS SUNX BY MINES.
page 5	RUSSIAN OPERATIONS IN GALICIA.
page 5	AUSTRAIN PORT BOMBARDED BY MONTENEGRINS.
page 5	THE WAR IN THE FAR EAST.
page 5	TSINGTAU FLOODS.
page 5	GERMANS COMMANDEERING WAR SUPPLIES.
page 5	ACTIVITY OF CHINESE SPIES.
page 5	THE OERMAN PEESS AND JAPAN.
page 5	GERMAN AMMUNITION.
page 5	CHINA COASTERS PRECAUTIONS.
page 5	PARTIZAN WAR NEWS.
page 5	TSINAN NEWS.
page 5	AMERICAN COMMENT ON JAPAN'S ATTITUDE.
page 5	JAPANESE YOLUNTEERS FRO EUROPE.
