page 2	THE Harbour Master's report, which we give in another column, does not coincide with the theories of those who have bean industriously sndasvouring to 'boom' the Colony during the last eighteen months.
page 3	TELEGRAMS.
page 3	THE ROYAL GRANT.
page 3	MR PARNELL.
page 3	GENERAL BOU ANGER.
page 3	GERMAN ENGINEERS IN THE POLICE COURT.
page 3	THE BANGKOK RIOTS.
page 3	CHINA'S SORROW AGAIN BURSTS ITS BANKS.
page 3	TERRIBLE FLOODS IN SHANTUNG.
page 3	NOTES FAOM NATIVE PAPERS.
page 3	THE ALMIGHTY DOLLAR.
page 3	THE TRUE STORY OF THE TABLETS.
page 3	LATE TELEGRAMS.
page 3	THE SHAR'S MOVEMENTS.
page 3	THE FIGHTING IN EGVPT.
page 3	THE MALTA GARRISON WARNED.
