page 2	THE despatch of Lord Kimberley, in reference to the Government grant to the City Hall Museum, is an instructive document. It is not our intention to get upon an eminence and crow over the defeat of the Governor in this matter.
page 3	EXTRAORDINARY PROCEEDINGS IN THE HOUSE OF COMMONS -- UNEXAMPLED TUMULT ON THE EXPULSION OF PARNELL AND THE HOME RULERS.
page 3	MAN ACCIDENTALLY SHOT.
page 3	THE BOOTH QUESTION.
page 3	ALLEGED LARCENY ON BOARD SHIP.
page 3	A PICK-POCKET.
page 3	DISORDERLY CONDUCT AT THE KOSHING THEATRE.
page 3	NO LIGHT OR PASS.
page 3	LARCENT FROM THE PERSON.
page 3	ILL-TREATMENT OF A GIRL.
page 3	A NATURAL.
page 3	A RE-OPENED CASE.
page 3	ALLEGED NUISANCE.
page 3	THE CHINESE GUILD, YOKOHAMA, AND THE CANTON FLOODS FUND.
