page 4	YESTERDAY we drew attention to the interesting discussion now proceeding in the Japanese press concerning the alleged decay of morality in Japan. Curiously enough a similar debate has.
page 5	THE STATE OF TURKEY.
page 5	A WISE WARNING.
page 5	INTER-MARRIAGE LAWS.
page 5	BETWEEN CHINESE AND MANCHUS.
page 5	GRAND COUNCILLOR RESIGNS.
page 5	ILL-HEALTH THE CAUSE.
page 5	NEW CHINESE CONSULATE AT BATAVIA.
page 5	MOROCCO.
page 5	AMERICA AND JAPAN.
page 5	INDIAN WATCHMAN MURDERED.
page 5	DEATH OF MRS LANGLEY.
page 5	CANTON-HANKOW RAILWAY.
page 5	MUTINOUS SOLDIERS AND REBELS IN KWANGSAI.
