page 2	THE annual sessions of the Justices of the Peace was held at the Magistracy this morning.  Mr. H.E. Wodehouse, Police Magistrate, presided, and among those present were : Mr G. Hormpool, Deputy Superintendent of Plice.
page 3	A TRIP ON A JAPANESE TRANSPORT.
page 3	THE GREAT POWERS AND THE WAR.
page 3	MURDER OF A MINISTER OF STATE IN COREA.
page 3	ANTI-JAPANESE FEELING IN COREA.
page 3	FRANCE AND MADAGASCAR.
page 3	LORD ROSEBERY ON THE SITUATION.
page 3	THE LATE CZAR OF RUSSIA.
page 3	GREAT BRITISH AND RUSSIA IN THE FAR EAST.
page 3	CHINA AND THE WAR.
page 3	FRANCE AND MADAGASCAR.
page 3	THE CZAR AND FRANCE.
page 3	THE CAPTURE OF PORT ARTHUR CONTRADICTED.
page 3	BRITISH SQUADRON GOING TO CHUSAN.
page 3	THE LATEST FROM PORT ARTHUR.
page 3	TELEGRAPH LINES FROM PORT ARTHUR TO CHEFOO OUT.
page 3	GREAT BRITAIN'S REPORTED ULTIMATUM TO CHINA.
page 3	THE ATTITUDE OF THE PEOPLE.
page 3	TWO ALLEGED SPIES.
page 3	THE BIRTHDAY CELEBRATION.
page 3	MORE BRAVES.
page 3	DISCOUNTING BAD NEWS.
page 3	THE OFFICIAL CHANGES.
page 3	TRUTH AND IDLE RUMOUR.
page 3	SHOULD MISSIONARY HOSPITALS BE SELF-SUPPORTING.
page 3	THE LAST FIGHT IN ARMOUR.
page 3	DISCOIUNTING BAD NEWS.
page 3	THE OFFICIAL CHANGES.
page 3	TRUTH AND IDLE RUMOUR.
page 3	SHOULD MISSIONARY HOSPITALS BE SELF-SUPPORTING.
page 3	THE LAST FIGHT IN ARMOUR.
page 3	SHANGHAI SHARE MARKET.
