page 2	ALTHOUOH we have neither time nor space to devote to any lengthy comment apon the proceedings at the annual meeting of the Hongkong General Chamber of Commerce,Che meeting deserves speeial notice.
page 3	SAFETY OF H.M.S. WHITING.
page 3	ARRIVAL AT SHANGHAI.
page 3	REUTER'S TELEGRAMS.
page 3	SPAIN AND THE UNITED STATES.
page 3	MR BALFOUR'S STATEMENT OF THE GOVERNMENT'S CHINA POLICY.
page 3	SUPREME COURT.
page 3	IN ORIGINAL JURISDICTION.
page 3	ODD VOLUMES SOCIETY.
page 3	THE SANITARY BOARD.
page 3	THE WATER SUPPLY.
page 3	VISIT OF PRINCE HENRY TO SWATOW.
page 3	RUSSIAN RELATIONS WITH CHINA.
page 3	THE RUSSIAN VICTORY AT PEKING.
page 3	BRITISH GOVERNMENT FAILS TO SUPPORT SIR CLAUDE MACDONALD.
page 3	LATE TELEGRAMS.
page 3	THE POONA MURDERS.
page 3	THE NIGER.
page 3	THE AMERICAN ARMY.
page 3	A COTTON SPINNERS' TRUST.
page 3	THE RUSSIAN COUP IN PEKING.
page 3	LI HUNG-CHANG TERRORIZES THE EMPEROR.
page 5	WHAT MAKES THEM CRY!
page 5	HONGKONG GENERAL CHAMBER OF COMMERCE.
page 5	MR GRANVILLE SHARP AND THE LIGHT DUES.
