page 2	UP to the present moment there are no signs of yielding on the part of the coolies out on strike. The funds being forthcoming from the headmen for their daily supply of rice, the coolies are.
page 3	EMPEROR WILLIAM AND PRINCE BISMARCK.
page 3	RESULT OF LINCOLNSHIRE HANDICAP.
page 3	RUSSIAN STRENGTH IN THE FAR EAST.
page 3	DEPARTURE OF TROOPS FROM HIROSHIMA.
page 3	PREPARING FOR THE FRAY.
page 3	TERMS OF PEACE. - JAPANESE FORECASTS.
page 3	THE DEFENCE OF FORMOSA.
page 3	A JAPANESE VESSEL ASHORE.
page 3	FRENCH SAILORS IN FORMOSA.
page 3	ENGLAND AND JAPAN.
