page 2	WE beg to direct the attention of the official whom it may concern to what is unquestionably an intolerable nuisance.  We refer to the great hubbub and disorder created daily in Wyndham Street near the German Club.
page 3	HONGKONG HUMANE SCCIETY.
page 3	REPORT.
page 3	Police Intelligence.
page 3	LARCENY.
page 3	LARCENY BY THE CHIRF OFFICER OF THE AMERICAN BARQUE "CEYLON."
page 3	GAMBLING.
page 3	THE HONGKONG VOLUNTEER RIFLE CORPS.
page 3	OFFICIAL STATEMENT.
page 3	CHINESE EMIGRATION.
page 3	EMIGRATION TO AUSTRALIA.
page 3	China.
page 3	COREA.
page 3	The Straits.
page 3	ARRIVAL OF THE FRENCH MAIL.
