page 2	WE observe from the London & China Express that a portion of the correspondence relating to the Chefoo Convention has been laid before Parliament. Until the Blue Book reaches us.
page 3	THE CHILDREN'S PINAFORE AT THE CITY HALL.
page 3	THE CHINAMAN-CRAIGLANDS REWARD AND RELIEF FUND.
page 3	PUBLIC GAMBLING.
page 3	COMMITTED ON A CHARGE OF WILFUL MURDER.
page 3	A DANGEROUS LUNATIC.
page 3	DRUNK AND DISORDERLY.
page 3	LARCENY.
page 3	BURGLARY AND LARCENY.
page 3	POSSESSION OF STOLEN GOODS.
page 3	LARCENY FROM A MAIL STEAMER.
page 3	UNITED STATES COURT FOR THE CONSULAR DISTRICT OF SHANGHAI.
