page 2	A CORRESPONDENT --- "Observer" --- recently drew attention to the fact that two inquests had been held at the Tung Wah Hospital within a few days of each other on the bodies of persons who had died while under treatment in that institution.
page 3	Police Intelligence.
page 3	LARCENIES.
page 3	LARCENY AND ATTEMPTED ESCAPE.
page 3	BEGGARS.
page 3	UP A TREE.
page 3	DRUNKENNESS.
page 3	CHARGE OF MURDER ON BOARD THE S.S. "DEUCALION."
page 3	THE FAMINE IN THE NORTH.
page 3	THE PACIFIC SQUADRONS OF ENG-LAND AND RUSSIA.
page 3	THE P. & O. CONTRACT.
page 3	SONG.
page 3	WHY COAL BURNS.
