page 2	THE letter forwarded by the Government in reply to the protest made by the Sanitary Board against the appointment of an independent Medical Officer of Health, has now been published. That.
page 3	THE POWERS AND JAPAN.
page 3	THE SITUATION AT PEKIN.
page 3	RIOTING OF CHINESE SOLDIERS IN FORMOSA.
page 3	FOREIGN INTERESTS IMPERILLED GERMAN BLUEJACKETS TO RESCUE.
page 3	FOREIGN WAR CORRESPONDENTS AT THE PESCADORES.
page 3	CONFERENCE OF FOREIGN CONSULS.
page 3	THE SITUATION DISCUSSED.
page 3	THE JAPANESE ENVOY.
page 3	AN IMPERIAL PROCLAMATION.
page 3	PEACE RATIFICATIONS.
