page 2	IT is a sound commercial principle that a trader who wishes to buy either raw material, labour or the produce of labour, ought, other things being equal, to make his purchases in the cheapest marker.
page 3	TURKEY AND GREECE.
page 3	FRAGRANT WATERS MURMUR.
page 3	VICTORIA RECREATION CLUB.
page 3	ALLEGED ROBBERY OF $3,000.
page 3	THE BLOCK SYSTEM IN CHINA.
page 3	THE GENTEEL MODERN BOXBR.
page 3	BY AN AMATNUR OF THE THE FANOT.
page 3	IN AN EGYPTIAN MUSEUM.
page 3	PHILOSOPHY FROM PHINEAS T.
page 4	A POEM ON THE DEYIL.
page 4	THE AFTERNOON NAP.
page 4	POOR RICH MEN.
