page 2	THE year which has now almost reached its close has been a comparatively quiet and uneventful one. So far as this colony is concerned.
page 3	THE PAMIR QUESTION.
page 3	THE POLITICAL SITUATION.
page 3	THE PANAMA CANAL SCADALS.
page 3	'FRAGRANT WATERS' MURMUR.
page 3	SUPREME COURT.
page 3	IN SUMMARY JURISDICTION.
page 3	COLLAPSE OF THE CHARRY BUSINESS.
page 3	THE BOMBAY YAR TRADE IN HONGKONG.
page 3	A GOLD STANDARD FOR INDIA PROPOSED.
page 3	THE MONETARY CONFERENCE.
page 3	THE AUSTRIAN FOYAL VISITOR TO THE EAST.
page 3	THE PANAMA CANAL CANDALS.
page 4	NEW-YEAR'S EVE OR HOGMANAY.
page 4	'IT IS THREE THOUSAND MILES LONG.'
page 4	SINGULAR BUT TRUE. 
