page 2	WHILE the commnity generally will agree with Mr Ormsby, who said at last Sanitary Board meeting that medical inspection was a farce, it must be conceded that the mere fact of a check eristing however small.
page 3	THE GREAT FIRE AT SHASHI.
page 3	EVACUATION OF WEI-HAI-WEI.
page 3	THE FUTURE OF THE PHILIPPINES.
page 3	THE RIOTS IN ITALY.
page 3	THE AMERICAN-SPANISH WAR.
page 3	THE GERMANS AT KIAOCHAO.
page 3	NOTES BY A CORRSSPONDENT.
page 3	THE BLACK FLAG DISTURBANCE ON THE WEST RIVER.
page 3	FOREIGNERS ASSAULTED.
page 3	LAUNCH OF A SIAMESE GUNBOAT.
page 3	FOOCHOW NOTES.
page 3	FRENCH INTERESTS AT FOOCHOW.
page 3	MISSIONS.
page 3	A MISSIONARY DINNER.
page 3	THE CYOLE CRAZE.
page 3	THE POLICE FORCE.
page 3	OFFICIAL CHANGES.
page 3	MR. GLADSTONE.
page 3	'MAIN' WRECK ABANDONED.
page 3	RIVAL ORIENTAL LINE.
page 3	DEATH OF MARQUIS OF EXETER.
page 3	MISS WILLARD'S REMAINS CREMATED.
page 3	BRITISH TROOPS FOR HALIFAY.
page 3	THE VICEROYSHIP OF INDIA AND GOVERNOR-GENERALSHIP OF CANADA.
page 3	KING OTTO NEAR HIS END.
page 3	EXTRAODDINARY SCENE IN A LONDON CHURCH.
