page 2	This gigantic movement going on all over the United Kingdom for Trade revival was the direct outcome of the late war. The Decimal Coinage Association, which had hitherto made little impression on the.
page 3	THE UNITED STATES AND THE PHILIPPINES.
page 3	FRANCE.
page 3	THE ADVANCE OF THE AMERICAN TROOPS.
page 3	A Stubborn Contest.
page 3	DEATH OF A GALLANT OFFICER.
page 5	Proaperity in Cubs.
page 5	A Russo-Amerrican Alliance.
page 5	Resolution for Filipino Independence.
page 5	A Rich Drift.
page 5	Guam Naval Station.
page 5	British Trade Unions.
page 5	Municipal Pawnshop Project.
page 5	Respect to Dingley's Memory.
page 5	The Ladrones.
page 5	At Peace with Germany.
page 5	Threatened Meat Famine.
