page 2	THE rumour that the Hon. H. E. Wodehouse, Police Magistrate, is going home on leave had barely got into circulation when some interested person, with indecent haste, rushed into print to advocate.
page 3	THE KUCHENG MASSACRE.
page 3	MORE OFFICIAL DUPLICITY.
page 3	MURDERERS LIBERATED.
page 3	OPINIONS OF THE PRESS.
page 3	FOREIGNERS IN CHINA.
page 3	EDUCATION FOR THE CHINESE.
page 3	A CHINAMAN'S OPINION.
page 3	IRISH LEGAL APPOINTMENT.
page 3	THE CASE OF PRIVATE STEWART.
page 3	THE CHITRAL TROOPS.
page 3	STANLEY'S MAIDEN SPEECH.
page 3	THE AMEER AMD INTERNATIONAL DIPLOMACY.
page 3	THE DUPLIOATED ELECTIONS IN IRELAND.
page 3	THE KUCHENG MASSACRE. -- THE FEELING IN MELBOURNE.
page 3	THE FIRE AT BROKEN HILL.
page 3	A DAMAGED STEAMER.
page 3	THE GOVERNOR OF QUEENSLAND.
page 3	THE LOSS OF THE 'CATTERTHUN.'
page 3	THE BRITISH ARMY. -- DETAILS OF THE NEW ORGANISATION.
page 3	ENGLAND AND FRANCE ON THE MEKONG.
