page 2	The sction of the Legislative Council in passing an Ordinance to amend the Women and Girls' Protection Ordinance, 1890, and the amending Ordinance of 1891, sweeps away, perhaps for ever.
page 3	THE REPORTED ATTACK ON PORT ARTHUR.
page 3	UNEASINESS IN NORTH CHINA.
page 3	RE-INFORCEMENTS FOR THE DUTCH EAST INDIES.
page 3	THE COMTE DE PARIS.
page 3	LI HUNG CHANG AND THE FLEET DENOUNCED.
page 3	ANOTHER BATTLE IMMINENT.
page 3	THE CHINESE FLEET.
page 3	NEWS FROM THE NORTH.
page 3	THE MURDER OF A SCOTCH M SSIONARY.
page 3	DETAILS OF THE ORIME.
page 3	HOW THE ATTACK BEGAN.
page 3	A SHOUT AROSE.
page 3	ANOTHER OUTRAGE PREVENTED.
page 3	THE PEOPLE'S DEMKANOUR.
page 3	FIENDISH OUTRAGE.
page 3	THE LOCAL OFFICIALS BLAMELESS.
page 3	THE USE OF THE TELEGRAPH.
page 3	PROMISED PUNISHMENT.
page 3	A REDEEMING FEATURE.
page 3	THE FUNERAL.
page 3	REPARATION.
