page 2	The Northern Pacific Co.'s steamship Flintshire arrival at Victoria, B. C., bn her voyage to Tacoma, on the 27 th inst.
page 3	NEWS BY THE AUSTRALIAN MAIL.
page 3	THE GALES IN THE ATLANTIC-THE 'UMBRIA' DISABLED.
page 3	THE CHANNEL TUNNEL.
page 3	THE TEACHING OF COLONIAL HISTORY.
page 3	THE AMERICAN GOLD FIELD.
page 3	THE HANSARD UNION.
page 3	MR. ARNOLD FORSTER.
page 3	CANADIAN NOTE ISSUE.
page 3	THE LONDON POOR.
page 3	THE LONDON SCHOOL BOARD AND FREE DENTISTRY.
page 3	MR. MICHAEL DAVITT.  
page 3	MR. JOHN MORLEY THREATENED.
page 3	CANADA AND THE UNITED STATES.
page 3	IMMIGRATION IN AMERICA.
page 3	THE UNITED STATES CONGRESS.
page 3	STRIKE IN THE BOTTLE TRADE.
page 3	THE DYNAMITE OUTRAGES.
page 3	ANTI-VACCINATION.
page 3	BRIDGE ACROSS THE ENGLISH CHANNEL.
page 3	POLITICAL RIOT AT KILRUSH.
page 3	THE LONDON UNEMPLOYED.
page 3	THE GOVERNORSHIP OF TASMANIA.
page 3	THE CHINESE IN AUSTRALIA.
page 3	THE LATE JAY GOULD.
page 3	EXCITING INCIDENT IN BERLIN.
page 3	FOOT AND-MOUTE DISEASE IN LONDON.
page 3	GLOVE CONTEST IN NEW YORE.
page 3	A NEW LIBERAL PAPER.
page 3	THE BRINDISI MAIL ROUTE.
page 3	FIRE AT HYDE FAER.
page 3	ALARM OF SMALLPOX IN ENGLAND.
page 3	ALLEGATION AGAINST THE LATE BARON REINACH.
page 3	CHANGE OF FRENCH AMBASSADORS.
page 3	IRISH MEMBERS OF PARLIAMENT.
page 3	THE THAMES FROZEN OVER.
page 3	THE REPORTED DISARMING OF THE CONSTABULARY.
page 3	THE DECIMAL SYSTEM.
page 3	IRISH EVICTED TENANTS.
page 3	SNOWSTORMS ON THE CONTINENT.
page 3	LYNCHING IN AMERICA.
page 3	THE AMERICAN DELEGATES TO THE BRUSSELS CONFERENCE.
page 3	PROPOSED EXCLUSION OF CANADIANS FROM AMERICA.
page 3	A SCARE IN PARIS.
