page 2	In these days of war rumours, we hear a great deal about the value of Hongkong as a maval hase, a port of refuge (if one is needed), an arsenal where supplies of ammunition and fighting material may be ob.
page 3	THE POLITICAL SITUATION IN CHINA.
page 3	RUSSIA AND PORT ARTHUR.
page 3	RATIFICATION OF THE KIAOCHAU LEASE.
page 3	PROTESTS BY JAPAN.
page 3	WARLIKE ASPECT OF AFFAIRS.
page 3	RUSSIA AND CHINA.
page 3	RUSSIA AND CHINA.-EXCITEMENT IN LONDON.
page 3	SPAIN AND THE UNITED STATES.
page 3	THE UNITED STATES.
page 3	THE NEW CHINA LOAD AND THE LIKIN QUESTION.
page 3	ANOTHER NURSE IN BOMPAY DIES OF PLAGUE.
page 3	SIR GEORGE WHITE.
page 3	THE POONA ASSAULT CASE.
page 3	THE DEPARTURE OF INDIAN TROOPS FOR MOMBASSA.
page 3	GENERAL KEMPSTER BEMANDA AN ENQUIRY.
page 3	THE HORRORS OF FIRE ADDED TO THOSE OF PLAGUE.
page 3	THE IRISH LOCAL GOVERNMENT BILL.
page 3	GREAT BRITAIN NOT RESPONSIBLE FOR THE FRONTIER OPERATIONS.
page 3	SIR SALTER PYNE INTERVIEWED AT PESHAWUR.
