page 2	AS the press of this Colony is occasionally accused by half-informed outsiders of being unduly imbued with local prejudice in its criticism of Goveror Hennessy.
page 3	UNLAWFUL POSSESSION OF A CAT.
page 3	DRUNK.
page 3	DRUNK AND DISORDERLY.
page 3	DISORDERLY CONDUCT.
page 3	THEFT OF CLOTHING.
page 3	SELLING FREST PORK.
page 3	THROWING RUBBISH INTO THE HARBOUR.
page 3	DAMAGING TREES.
page 3	WITHOUT A CERTIFICATE.
page 3	DISOBEDINENCE OF ORDERS.
page 3	INDECENT ASSAULT.
page 3	THEFT OF CLOTHING.
page 3	SHANGHAI.
page 3	YOKOHAMA.
