page 1	THE STRANDING OF THE S.S. TAK HING.
page 4	AS SEEN THROUGH AMERICAN EYES.
page 4	THE NUISANCE NEAR THE LAW COURTS.
page 4	REVIEW OF NAVAL BRIGADE BY H. E. THE GOVERNOR.
page 4	VOLUNTEER CORPS ORDERS.
page 4	S.S. CANTON IN THE TYPHOON.
page 4	Severe Damage.
page 4	ALLEGED BANKRUPTCY OFFENCE.
page 4	LORDS AND THE BUDGET.
page 4	LORD CHANCELLOR LORE BURN'S POINTED WORDS.
page 4	CHINESE NAVAL COMMISSION VISIT PORTSMOUTH.
page 4	THE OUTLOOK IN CHINA.
page 4	TO OUT QUEUES.
page 4	THE RAILWAY LOANS.
page 4	MACAO'S BOUNDARY.
page 4	VICEROY OF CHILHI DISMISSED.
page 4	CANTON VICEROY REPRI MANDED.
page 4	PRINCEZ ALICE AT SINGAPORE.
page 4	ENCOUNTERS EXCEPTIONAL WEATHER.
page 4	FIRE AT KOWLOON.
page 4	Entire Destruction of Military Matsheds.
page 4	BYSACK'S CIRCUS.
page 5	THE INTERPORT FESTIVAL.
page 5	HONGKONG AND THE STRAITS MEET.
page 5	HONGKONG LEADING.
page 5	HONGKONG VOLUNTEER.
page 5	RESERVE ASSOCIATION.
page 5	SANITARY BOARD.
page 5	THE STRANDING OF THE SELJA.
page 6	A COLONIAL CHRISTMAS NUMBER.
