page 2	ONE of the probable results of the apparently satisfactory settlement of the Russo-Afghan difficulty must, if possible, be counteracted or prevented. We mean, of course, the almost inevitalbe.
page 3	PARLIAMENT.
page 3	THE ANGLO-RUSSIAN AGREEMNT.
page 3	AFGHANISTAN.
page 3	THE SOUDAN.
page 3	RUSSIA AND ENGLAND.
page 3	THE SUPPRESSION OF THE 'ROSPHORE EGYPTIEN'.
page 3	LORD WOLSELEY AND THE SOUDAN.
page 3	SHORTEST ROUTE TO CHINA.
page 3	THE HONGKONG SKETCHING CLUB EXHIBITION.
page 3	LEE LUM KWATS RELEASE.
page 3	THE ALLEGED EXTORTION CASE.
page 3	ASSAULTING A JINRICKSHA COOLIE.
page 3	THE DISMISSAL OF CHINESE FIREMEN DEMANDED IN SYDNEY.
