page 2	IT would be a great pity if the inexpressibly sad death of Mr M. G. Perlane, at the Government Civel Hospital on Sunday last, should lead to anything of the nature of a hydrophobia 'scare' in the colony.
page 3	THE POLITICAL SITUATION IN GERMANY.
page 3	THE WEATHER IN ENGLAND.
page 3	THE BRITISH MISSION TO MOROCCO.
page 3	THE HOME RULE BILL.
page 3	THE PAMIR QUESTION.
page 3	THE PANAMA SCANDAL.THE PAMIR QUESTION.
page 3	THE PANAMA SCANDAL.ADMIRAL FAIRFAX ACQUITTED.
page 3	THE 'CHISHIMA' DISASTER.
page 3	SUPREME COURT.
page 3	IN BANKRUPTCY.
page 3	Re CHAU KUM FAI.
page 3	THREATENED DISTURBANCE AT NANKING.
page 3	OPPRESSION IN SHENSI.
page 3	NOTES FROM CHINESE PAPERS.
