page 2	THE Home press has awakened at last to a full recognition of the mighty power -- the new political and industrial force -- which has arisen in the Far East. European statesmen and thinkers.
page 3	FRENCH ATLANTIC LINER OVERDUE.
page 3	SEVERE WEATHER IN EUROPE.
page 3	THE FIGHTING AT WEI-WAI-WEI.
page 3	THE CHINA-JAPAN WAR.
page 3	THE FIGHTING AT WEI-HAI-WEI.
page 3	JAPANESE FLEET ENTER AND ENGAGE CHINESE FLEET.
page 3	CHINESE MAINTAINING DESPERATE RESISTANCE.
page 3	THREE TORPEDO BOATS SUNK.
page 3	RUMOURED INVASION OF FOOCHOW.
page 3	ALL THE CHINESE TORPEDO BOATS AT WEI-HAI-WEI CAPTURED OR SUNK.
page 3	THE CHINESE PEACE EMBASSY.
page 3	MINISTERIAL CRISIS IN GREECE.
page 3	RESIGNATION OF THE PRESIDENT OF THE ARGENTINE REPUBLIC.
page 3	CONSERVATIVE VICTORY AT EVESHAM.
page 3	THE ARMENIAN PATRIARCH AND THE PORTE.
page 3	RUSSIA ON THE PAMIRS.
page 3	THE GERMAN EMPEROR'S BIRTHDAY: -- AN ARMY ORDER.
page 3	THE POLICY OF THE LIBERAL GOVERNMENT.
