page 2	In is very good of Mr W. Y Drummond. when ho visits Hongkong, to devote a portion of his seanty leisure to the entertainment and enlightenment of the public of the Colouy. His Lecture under the auspioes.
page 3	THE WAR.
page 3	THE HIGHLANDERS AND LORD METHUEN.
page 3	THE GENTLEMEN YEOMANRY.
page 3	THE POSITION AT LADYSMITH.
page 3	RELIEF MOMENTARILY EXPECTED.
page 3	THE CEYLON VOLUNTEERS.
page 3	DATE OF DEPARTURE.
page 3	FIRE AT SHANGHAI.
page 3	ASTOR HOUSE PARTIALLY DESTROYED.
page 3	NATAL.
page 3	CAPE COLONY.
page 3	BOER MOVEMENTS.
page 3	THE STRIKE OF MINERS.
page 3	THE FRENCH CHAMBERS.
page 3	Bitten By a Wolf.
page 3	Army News.
page 3	The Indian Crops.
