page 4	THE riots that occurred at Singapore on the Ioth of last month should afford a valuable hint to the Government of the Settlements In dealing with Secret Societies.
page 5	A SPURIOUS ARTICLE.
page 5	MISREFRESENTATION.
page 5	DEPORTED MEN.
page 5	ATTEMPT TO COMMIT FELONY.
page 5	BLASTING ROCKS.
page 5	LARCENY.
page 5	ROBBERY.
page 5	AN ENFORCED NOVICE.
page 5	MASTERS AND SEAMEN.
page 5	LONDON GOSSIP.
page 6	KEEPING WIDE AWAKE.
page 6	ROBESPIERRE.
page 6	THE FALL OF THE LEADER OF THE HEIGN OF TERROR.
page 6	THE LIFE OF THE HOUSE-FLY.
