page 2	SINCE the days when John Howard commenced his labours for the improvement of English prisons and the amelioration of the condition of the prisoners.
page 3	MARRIAGE OF THE DUKE OF YORK.
page 3	RE-APPEARANCE OF CHOLERA IN GERMANY.
page 3	THE EGYPTIAN CRISIS.
page 3	AFFAIRS IN SERVIA.
page 3	THE NEW TELEGRAPH CONVENTION.
page 3	THE KOWLOON LAND & BUILDING COMPANY, LIIMITED.
page 3	NOTES FROM PEKING.
page 3	THE AUSTRIAN ARCHDUKE'S TOUR.
page 3	THE WEATHER IN THE NORTH.
page 3	NOTES FROM NATIVE PAPERS.
page 3	FOOCHOW NOTES.
