page 2	IF any doubt lingered in the public mind as to the strong disavour with which Governor Sir William Robinson regarded the idea of appointing a Retrenchment Commission which could by.
page 3	SIAM.
page 3	THE SHERMAN ACT REPEALED BY THE HOUSE OF REPRESENTATIVES
page 3	COINAGE OF BULLION.
page 3	THE DEPRESSION IN THE CHINA SEA.
page 3	NEWS BY THE CANADIAN MAIL.
page 3	THE REVOLUTION IN ARGENTINA.
page 3	THE CHICAGO SIVER CONVENTION.
page 3	AMERICAN DEMANDS ON LONDON.
page 3	BI-METALLISM AND INDIA.
page 3	THE NEW CUNARDER.
page 3	THE RECENT FIRE IN CHICAGO.
