page 2	Two correspondents have already called attention in our columns to the absehce of school facilities for European children at Kowloon, and there has been imported into the discussion a certain degree of warmth.
page 3	GERMANY IN CHINA.
page 3	MOVEMENTS OF THE BRITISH FLEET IN CHINA.
page 3	THE PLAGUE IN BOMBAY.
page 3	LOSS OF THE CROMARTY.
page 3	SCOTCH CONCERT IN THE CITY HALL.
page 3	THE NEW GOVRNMENT OFFICES.
page 3	THE RIVAL SCHEMES.
page 3	SECRETARY OF STATE TO GOVERNOR.
page 3	MESSES ASTON WERR AND E. INCRESS BELL TO CROWN AGENTS.
page 5	THE IMPERIAL CHINESE MARITIME CUSTOMS.
page 5	THE GERMANS AT KYAO-CHAO.
page 5	THE POLITICAL SITUATION IN CHINA.
