page 2	THE sentence of three months' imprisonment with hard labour inflicted at the Police Court yesterday on the Chinaman employed at the East Point Sugar Refinery should be productive of some good results.
page 3	THE LAW OF TENANCY.
page 3	IN ORIGINAL JURISDICTION.
page 3	A CLAIM ON A BUILDING CONTRACT.
page 3	ASSAULTING POLICE.
page 3	UNLAWFUL POSSESSION.
page 3	DISEASED MEAT.
page 3	DISORDERLY.
page 3	A ROGUE AND VAGABOND.
page 3	A NOXIOUS TRADE.
page 3	A WOULD-BE SUICIDE.
page 3	UNLAWFUL POSSESSION.
page 3	DISORDERLY CONDUCT.
page 3	EXTORTION BY COLOUR OF OFFICE.
page 3	THE STRENGTH OF EUROPE.
page 3	ENGLAND'S STRENGTH.
page 3	THE WAR-ENGLISH NEUTRALITY.
page 3	EXPERIMENTS WITH TORPEDOES.
