page 2	IF the causes of the outbreak of fever that occurred in the upper level of the western district in the autumn of 1886 are not by this time well known it has not been for want of discussion or of reports on the subject.
page 3	WHICH IS CORRECT.
page 3	RELIEF TO THE MONEY MARKET.
page 3	A RUSSIAN LOAN.
page 3	THE NANZING ASSAULT CASE.
page 3	THE HONGKONG ICE COMPANY LIMITED.
page 3	NINTH ANNUAL REPORT.
page 3	SOUTH FORMOSA.
page 3	THE PHILLIPINES.
page 3	CHINKING.
page 3	LAST YEAR'S TRADE IN CHINA.
page 3	NOTES FROM NATIVE PAPERS.
