page 4	PROTECTING ENEMY TRADE MARKS.
page 5	THE FRENCH THRUST AT VERDUN.
page 5	ENEMY COUNTER-ATTACKS REPULSED.
page 5	ALL CAPTURED GROUND MAINTAINED.
page 5	A GREAT TACTICAL SUCCESS.
page 5	HEAVY RAIN ON BRITISH FRONT.
page 5	EXCHANGE OF CIVILIAN PRISONERS.
page 5	7,000 GERMANS FOR 700 BRITISH.
page 5	THE PRISONERS OF MILITARY AGE.
page 5	UNDERSIRABLE.
page 5	A SUGGESTED ANGLO-GERMAN AGREEMENT.
page 5	THE OPERATIONS IN MACEDONIA.
page 5	THE MAN-POWER QUESTION.
page 5	"ELIGIBLE" MUNITION-WORKERS TO BE REPLACED.
page 5	RUMANIAN RETIREMENT IN DOBRUDJA.
page 5	THE ALLIES AND THE RUMANIAN SITUATION.
page 5	A GALLANT AIRMAN.
page 5	GREECE'S TWO GOVERNMENTS.
page 5	ENTENTE RECOGNISING BOTH.
page 5	THE EXCESS PROFITS TAX ON RUBBER RAISED.
page 5	INCREASED WAGES FOR LANCA-SHIRE COTTON WEAVERS.
page 5	THE U.S. PRESIDENTIAL ELECTION.
page 5	SPECULATIONS REGARDING THE RESULT.
page 5	NEW BRITISH LOAN IN AMERICA EXPECTED.
page 5	THE DESTRUCTION OF NEUTRAL SHIPPING.
page 5	THE MESOPOTAMIA COMMISSION.
page 5	MILITARY HOSPITALS IN INDIA.
page 5	THE PUBLIC SERVICES IN INDIA.
page 5	QUCKER MAIL SERVICE TO MESOPOTAMIA IMPRACTICABLE.
page 5	FINE ACHIEVEMENT AT VERDUN.
page 5	ENEMY LINE WELL BROKEN.
page 5	OVER 3,500 PRISONERS.
page 5	FRENCH AIR ACTIVITY.
page 5	THE GREEK CRISIS.
page 5	SITUATION CONSIDERABLY IMPROVED.
page 5	BRITISH ACTIVITY.
page 5	ENEMY TRADE MARKS IN HONGKONG.
page 5	QUESTION IN THE COMMONS.
page 5	DO WORKERS SUFFER FROM INDUSTRIAL FATIGUE.
page 5	SHIPOWNER'S BREEZY SPEECH ON "CODDLING."
page 5	FRANCE'S COLOSSAL WAR RUDGET.
page 5	WAR EXPENDITURE DOUBLED IN LAST TWELVE MONTHS.
